id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1941,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP PGRI BANJARAN,20227723,SWASTA,JLN. KIARAPAYUNG,2023
1942,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP PGRI CIBARIBIS BANJARAN,20227724,SWASTA,JL. CIBARIBIS,2023
1943,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP PLUS AL-MUSTHAFA,69899575,SWASTA,JL RAYA BANJARAN - SOREANG KM.2,2023
1944,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP TERPADU AL FALAH,20259547,SWASTA,KP. UBRA RT. 01 RW.16,2023
1945,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP UMI KULSUM BANJARAN,20227764,SWASTA,JL. SINDANGPANON NO. 31,2023
1946,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP YAHAS BANJARAN,20227797,SWASTA,JL.RAYA PANGALENGAN NO.545,2023
1947,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP YASTRIB,20206067,SWASTA,JL. PAMOYANAN NO.16 SINDANGPANON,2023
1948,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204160,BANJARAN,32.04.13,BANJARAN,SMP YUMIK BANJARAN,20206068,SWASTA,JL RAYA KAMASAN,2023
1949,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3204160,BANJARAN,32.04.13,BANJARAN,SMP NEGERI 1 BANJARAN,20213849,NEGERI,JALAN RAYA BANJARAN NO. 13,2023
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201080,CIJERUK,32.01.28,CIJERUK,SMP PLUS MIFTAHUL HUDA CIJERUK,69893724,SWASTA,JL. KH. HALIMI KP. CIHIDEUNG RT 03/01,2023
