id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1132,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216010,SETU,32.16.18,SETU,SMA NEGERI 2 SETU,69984099,NEGERI,"JL. RAYA SADANG CIKARAGEMAN DESA RAGEMANUNGGAL, KEC.SETU,KAB,BEKASI 17320",2023
1133,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216010,SETU,32.16.18,SETU,SMAN 1 SETU,20237992,NEGERI,PERUM GRAHA MUSTIKA MEDIA SETU BEKASI,2023
1134,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216010,SETU,32.16.18,SETU,SMA BUNYAN INDONESIA,69969192,SWASTA,KP. LUBANGBUAYA,2023
1135,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216010,SETU,32.16.18,SETU,SMAS AL-MAHAD,69893233,SWASTA,JL. MT HARYONO KP. AWIRARANGAN,2023
1136,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216010,SETU,32.16.18,SETU,SMAS ISLAM MIFTAHUL ULUM,20238014,SWASTA,JL. KP. CINYOSOG DS. BURANGKENG KEC. SETU,2023
1137,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216021,SERANG BARU,32.16.21,SERANG BARU,SMAN 1 SERANG BARU,20238568,NEGERI,PERUMAHAN KOTA SERANG BARU (KSB) BLOK E,2023
1138,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216021,SERANG BARU,32.16.21,SERANG BARU,SMAS DARUL MUALLAMAH,20238011,SWASTA,JL. PASIR KUPANG NAGASARI SERANG BARU KAB.BEKASI,2023
1139,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216021,SERANG BARU,32.16.21,SERANG BARU,SMAS ISLAM ASY SYIFA,20238006,SWASTA,KP. SAMPORA DS. JAYA SAMPURNA KEC.SERANG BARU BEKASI,2023
1140,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216021,SERANG BARU,32.16.21,SERANG BARU,SMAS MUTIARA ISLAMI PLUS,69841003,SWASTA,KAVLING B PERUM KOTA SERANG BARU,2023
1141,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216021,SERANG BARU,32.16.21,SERANG BARU,SMAS PESANTREN DARUL IKHLAS,69899932,SWASTA,KP. KONGSI,2023
1142,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216022,CIKARANG PUSAT,32.16.20,CIKARANG PUSAT,SMAN 1 CIKARANG PUSAT,20237987,NEGERI,JL. BERUANG RAYA NO. 9 PERUM. CIKARANG BARU,2023
1143,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216022,CIKARANG PUSAT,32.16.20,CIKARANG PUSAT,SMAN 2 CIKARANG PUSAT,20245433,NEGERI,JL. RAYA PLN DESA SUKAMAHI,2023
1144,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216022,CIKARANG PUSAT,32.16.20,CIKARANG PUSAT,SMAS PANGUDI LUHUR BERNARDUS,69864644,SWASTA,KOTA DELTAMAS JL. TOL JAKARTA - CIKAMPEK KM 37,2023
1145,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMAN 1 CIKARANG SELATAN,20218378,NEGERI,JL. SERANG CIBARUSAH KM. 1,2023
1146,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMAN 2 CIKARANG SELATAN,69772703,NEGERI,PERUM BUMI CIKARANG MAKMUR JL. DELIMA RAYA BLOK D,2023
1147,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMA IIBS,20252020,SWASTA,JL. RAYA INDUSTRI NO.1 HYUNDAI LIPPO CIKARANG,2023
1148,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMA KRISTEN TUNAS BANGSA,70035539,SWASTA,JL. MAJAPAHIT NO.39 LIPPO CIKARANG,2023
1149,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMAS DIAN HARAPAN,20238013,SWASTA,JL. PALEM KUNING RAYA 2 TAMAN BEVERLI LIPPO,2023
1150,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMAS DON BOSCO III,20253810,SWASTA,JL. SENTOSA RAYA TAMAN SENTOSA KEC. CIKARANG SELATAN,2023
1151,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMAS IT AL LUTFAH,20244764,SWASTA,JL. VILLA MUTIARA NO. 3 CIKARANG SELATAN BEKASI,2023
1152,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMAS KRISTEN NASIONAL ANGLO,20238018,SWASTA,JL.SERUNI RAYA NO. 1 LEMBAH HIJAU LIPPO CIKARANG,2023
1153,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216023,CIKARANG SELATAN,32.16.19,CIKARANG SELATAN,SMA PELITA HARAPAN CIKARANG,20238021,SWASTA,"JL. DAGO PERMAI NO. 1 LIPPO CIKARANG, CIKARANG SELATAN",2023
1154,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMA NEGERI 2 CIBARUSAH,69989079,NEGERI,JL. RAYA CIBARUSAH,2023
1155,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMAN 1 CIBARUSAH,20218357,NEGERI,JL. RAYA CIBARUSAH KABUPATEN BEKASI,2023
1156,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMA AL-KAMILIYYAH BOARDING SCHOOL,69964749,SWASTA,JL. SUNAN GUNUNG DJATI KP. CIBOGO BEKASI,2023
1157,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMA AL-MANAR,70038405,SWASTA,JL. RAYA CIBARUSAH NO. 67,2023
1158,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMAS BAITURRAHMAN,20238007,SWASTA,KP. CIHOE RT.01/05 DS. RIDOGALIH CIBARUSAH,2023
1159,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMAS DAARUL QURAN,69728579,SWASTA,"GRAHA CIANTRA INDAH 02/11, DESA CIANTRA, KEC. CIKARANG SELATAN, KAB.BEKASI",2023
1160,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMAS DARUL MUTAQIN,20238028,SWASTA,JL. WIBAWA MULYA KEC. CIBARUSAH KAB. BEKASI,2023
1161,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216030,CIBARUSAH,32.16.22,CIBARUSAH,SMAS ISLAM YASPIA CIBARUSAH,20238029,SWASTA,JL. RAYA SUNAN GUNUNG JATI KP. CIBOGO,2023
1162,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216031,BOJONGMANGU,32.16.23,BOJONGMANGU,SMAN 1 BOJONGMANGU,20237984,NEGERI,JL. RAYA POJ DESA BOJONGMANGU KEC. BOJONGMANGU KAB. BEKASI.,2023
1163,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216031,BOJONGMANGU,32.16.23,BOJONGMANGU,SMAS ISLAM AL-KAMAL,20246452,SWASTA,KP. KANAYAKAN RT 09/05,2023
1164,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216041,CIKARANG TIMUR,32.16.11,CIKARANG TIMUR,SMAN 1 CIKARANG TIMUR,20237988,NEGERI,JLN CITARIK RT.01/04 KP. PANGUPUKAN DS. JATIBARU KEC. CIKARANG TIMUR,2023
1165,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216041,CIKARANG TIMUR,32.16.11,CIKARANG TIMUR,SMA IT ANNUR,NP582477,SWASTA,KAMPUNG RAWA SENTUL RT 02 RW 04,2023
1166,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216041,CIKARANG TIMUR,32.16.11,CIKARANG TIMUR,SMAS BHAKTI NEGARA KAB BEKASI,20253251,SWASTA,JL. RAYA RENGAS BANDUNG DS. TANJUNG BARU BEKASI,2023
1167,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216050,KEDUNGWARINGIN,32.16.12,KEDUNG WARINGIN,SMAN 1 KEDUNGWARINGIN,20237990,NEGERI,JL.RAYA LINGKAR KEDUNGWARINGIN,2023
1168,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216050,KEDUNGWARINGIN,32.16.12,KEDUNG WARINGIN,SMAS AZZAHIRIYAH,20246479,SWASTA,KP. BALEKER RT01/03 DS. WARINGIN JAYA KD WARINGIN,2023
1169,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMAN 1 CIKARANG UTARA,20218356,NEGERI,JL. KI HAJAR DEWANTARA N0. 91 KECAMATAN CIKARANG UTARA KABUPATEN BEKASI,2023
