id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
162,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,10518,ORANG,2020/2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,88183,ORANG,2021/2022
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,130950,ORANG,2021/2022
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,52765,ORANG,2021/2022
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,32795,ORANG,2021/2022
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,61894,ORANG,2021/2022
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,39979,ORANG,2021/2022
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,70775,ORANG,2021/2022
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,65622,ORANG,2021/2022
171,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,67205,ORANG,2021/2022
172,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,38626,ORANG,2021/2022
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,40825,ORANG,2021/2022
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,23170,ORANG,2021/2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,30070,ORANG,2021/2022
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,7372,ORANG,2021/2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,36207,ORANG,2021/2022
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,4938,ORANG,2021/2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,56341,ORANG,2021/2022
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,24781,ORANG,2021/2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,32651,ORANG,2021/2022
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,7560,ORANG,2021/2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,33685,ORANG,2021/2022
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,8282,ORANG,2021/2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,44665,ORANG,2021/2022
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,18077,ORANG,2021/2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,47277,ORANG,2021/2022
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,14265,ORANG,2021/2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,31928,ORANG,2021/2022
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,6232,ORANG,2021/2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,69068,ORANG,2021/2022
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,18929,ORANG,2021/2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,81114,ORANG,2021/2022
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,40260,ORANG,2021/2022
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,39070,ORANG,2021/2022
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,23224,ORANG,2021/2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,11657,ORANG,2021/2022
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,2198,ORANG,2021/2022
199,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,18448,ORANG,2021/2022
200,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,24008,ORANG,2021/2022
201,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,12018,ORANG,2021/2022
202,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,3025,ORANG,2021/2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,53050,ORANG,2021/2022
204,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,45239,ORANG,2021/2022
205,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,14499,ORANG,2021/2022
206,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,3589,ORANG,2021/2022
207,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,52745,ORANG,2021/2022
208,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,42170,ORANG,2021/2022
209,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,29442,ORANG,2021/2022
210,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,41925,ORANG,2021/2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,14299,ORANG,2021/2022
212,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,7201,ORANG,2021/2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,18082,ORANG,2021/2022
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,10783,ORANG,2021/2022
215,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,5729,ORANG,2021/2022
216,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2267,ORANG,2021/2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,92755,ORANG,2022/2023
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,136219,ORANG,2022/2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,52358,ORANG,2022/2023
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,31182,ORANG,2022/2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,58378,ORANG,2022/2023
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,39546,ORANG,2022/2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,73322,ORANG,2022/2023
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,62608,ORANG,2022/2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,65521,ORANG,2022/2023
226,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,39815,ORANG,2022/2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,40353,ORANG,2022/2023
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,23387,ORANG,2022/2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,30630,ORANG,2022/2023
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,7220,ORANG,2022/2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,36158,ORANG,2022/2023
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,5125,ORANG,2022/2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,56682,ORANG,2022/2023
