id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
19280,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SINDANGRERET,20224697,NEGERI,JL. SINDANGRERET,2023
19281,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SIRNASARI,20224707,NEGERI,RANCAMACAN,2023
19282,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDN SUKADAMI,20224717,NEGERI,KP. CIGALONTANG,2023
19283,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SD AL MUKAROMAH ISLAMIC SCHOOL,69968050,SWASTA,JL. MAYOR SL TOBING NO.131,2023
19284,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SD ISLAM AN-NAHL,69980027,SWASTA,JL. AH NASUTION KM2,2023
19285,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDIT TQ AL-HASAN,70030269,SWASTA,"JL. A.H NASUTION KM 9,8 RT.003 RW 002",2023
19286,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,32.78.08,MANGKUBUMI,SDIT TQ IMAM NAWAWI,69995955,SWASTA,JL. SINDANGJAYA NO.13,2023
19287,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 1 GOBRAS,20224292,NEGERI,JL. TAMANSARI NO.91 B,2023
19288,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 1 SETIAMULYA,20224635,NEGERI,SUKAMAJU NO. 10,2023
19289,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 2 GOBRAS,20224291,NEGERI,JL. TAMANJAYA NO.20,2023
1929,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI PANENJOAN,20201918,NEGERI,TENJOJAYA,2023
19290,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 2 SETIAMULYA,20224634,NEGERI,JL. TAMANSARI,2023
