id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,37043,ORANG,2021/2022
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,24000,ORANG,2021/2022
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,14048,ORANG,2021/2022
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,14972,ORANG,2021/2022
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,19357,ORANG,2021/2022
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,23592,ORANG,2021/2022
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,33784,ORANG,2021/2022
171,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,28552,ORANG,2021/2022
172,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,20700,ORANG,2021/2022
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,13877,ORANG,2021/2022
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,11180,ORANG,2021/2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,14043,ORANG,2021/2022
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,2114,ORANG,2021/2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,17444,ORANG,2021/2022
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,1621,ORANG,2021/2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,18512,ORANG,2021/2022
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,4793,ORANG,2021/2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,15863,ORANG,2021/2022
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,1515,ORANG,2021/2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,13495,ORANG,2021/2022
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,3710,ORANG,2021/2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,15836,ORANG,2021/2022
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,4001,ORANG,2021/2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,18647,ORANG,2021/2022
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,6261,ORANG,2021/2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,13957,ORANG,2021/2022
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,1724,ORANG,2021/2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,25934,ORANG,2021/2022
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,3591,ORANG,2021/2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,42488,ORANG,2021/2022
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,12288,ORANG,2021/2022
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,18065,ORANG,2021/2022
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,11376,ORANG,2021/2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4166,ORANG,2021/2022
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,461,ORANG,2021/2022
199,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,9855,ORANG,2021/2022
200,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,10974,ORANG,2021/2022
201,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,6316,ORANG,2021/2022
202,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,1802,ORANG,2021/2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,30696,ORANG,2021/2022
204,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,30431,ORANG,2021/2022
205,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,10037,ORANG,2021/2022
206,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,2489,ORANG,2021/2022
207,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,23137,ORANG,2021/2022
208,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,22877,ORANG,2021/2022
